Timestamp,gyro,leftEncoder,rightEncoder
1541717797.259113,5988,0,0
0.050351,4890,0,0
0.050151,5851,0,0
0.050397,6016,0,0
0.051043,6016,0,0
0.050312,5936,0,0
0.050781,5898,0,0
0.050694,6027,0,0
0.050056,5662,0,0
0.050382,5859,0,0
0.050055,6021,0,0
0.050066,6018,0,0
0.050140,5896,0,0
0.050738,5937,0,0
0.050680,6126,0,0
0.050451,5546,0,0
0.050133,6026,0,0
0.050682,5948,0,0
0.050086,6123,0,0
0.050961,6048,0,0
0.051040,5979,0,0
0.050874,5914,0,0
0.050683,5918,0,0
0.050008,5780,0,0
0.050284,5998,0,0
0.051009,5714,0,0
0.050618,6317,0,0
0.050694,5968,0,0
0.050266,5959,0,0
0.050486,5563,0,0
0.050076,5893,0,0
0.050289,5997,0,0
0.050085,6006,0,0
0.050468,5616,0,0
0.050050,5792,0,0
0.050310,5984,0,0
0.050010,5916,0,0
0.051047,5978,0,0
0.050271,6033,0,0
0.050714,5619,0,0
0.050452,5852,0,0
0.050202,5929,0,0
0.050578,6003,0,0
0.050053,5926,0,0
0.050360,6005,0,0
0.050191,5919,0,0
0.050175,5827,0,0
0.050832,6070,0,0
0.050277,6033,0,0
0.050438,6021,0,0
0.050124,6017,0,0
0.050067,5718,0,0
0.050904,6208,0,0
0.050233,5676,0,0
0.050609,5894,0,0
0.050073,5957,0,0
0.050893,6002,0,0
0.050102,5772,0,0
0.050018,5956,0,0
0.051067,5551,0,0
0.051000,6010,0,0
0.050410,6061,0,0
0.050991,5764,0,0
0.050992,6290,0,0
0.049996,6137,0,0
0.050987,5862,0,0
0.051004,6319,0,0
0.050989,5934,0,0
0.050915,5691,0,0
0.050048,5948,0,0
0.050048,6042,0,0
0.050929,5969,0,0
0.050939,6324,0,0
0.050879,5794,0,0
0.050032,5733,0,0
0.050126,6042,0,0
0.050059,6208,0,0
0.050121,5990,0,0
0.050193,5628,0,0
0.050043,6152,0,0
0.050029,5630,0,0
0.050962,6265,0,0
0.050995,5936,0,0
0.050976,6131,0,0
0.050996,5926,0,0
0.050927,6040,0,0
0.050012,5737,0,0
0.051056,6214,0,0
0.051059,5886,0,0
0.050984,5867,0,0
0.050963,5930,0,0
0.050974,5960,0,0
0.050933,6111,0,0
0.050002,6042,0,0
0.050995,5902,0,0
0.050979,5945,0,0
0.050985,6003,0,0
0.050987,5907,0,0
0.050995,5905,0,0
0.050025,5859,0,0
0.050826,6297,0,0
0.050576,5668,0,0
0.050982,5944,0,0
0.051022,6094,0,0
0.050943,5969,0,0
0.050274,5968,0,0
0.050179,6015,0,0
0.050967,6159,0,0
0.050925,6132,0,0
0.050972,5675,0,0
0.050056,5997,0,0
0.050095,6013,0,0
0.051035,5862,0,0
0.051031,5956,0,0
0.050981,5862,0,0
0.050976,5965,0,0
0.050946,6067,0,0
0.050959,6019,0,0
0.050982,6213,0,0
0.050964,5716,0,0
0.050054,6077,0,0
0.050013,6036,0,0
0.050029,5649,0,0
0.050155,6106,0,0
0.051028,6025,0,0
0.051006,5873,0,0
0.050952,6219,0,0
0.050974,5702,0,0
0.050946,6244,0,0
0.050965,5912,0,0
0.051036,6028,0,0
0.050928,6096,0,0
0.050946,6011,0,0
0.050724,5897,0,0
0.050917,6020,0,0
0.050065,5988,0,0
0.050958,6049,0,0
0.050991,6054,0,0
0.050978,6135,0,0
0.050985,6004,0,0
0.050970,5884,0,0
0.050667,5860,0,0
0.050973,6054,0,0
0.050932,6245,0,0
0.050984,5806,0,0
0.050924,6215,0,0
0.050994,6004,0,0
0.051033,6190,0,0
0.051055,5945,0,0
0.050908,5972,0,0
0.050973,6134,0,0
0.050957,5676,0,0
0.051069,6164,0,0
0.050983,5585,0,0
0.050953,6030,0,0
0.050992,6270,0,0
0.050969,5767,0,0
0.051023,6331,0,0
0.050993,6031,0,0
0.051008,5886,0,0
0.050992,6277,17,26
0.051035,6782,261,253
0.050247,7623,483,473
0.050148,657,619,602
0.050108,3582,871,820
0.050152,6234,1087,1091
0.050077,10421,1172,1189
0.050040,9079,1173,1204
0.050660,8350,1191,1201
0.050820,9128,1162,1172
0.050749,8332,1187,1198
0.050833,5635,1220,1247
0.050744,1884,1264,1277
0.050649,3207,1371,1341
0.050878,4600,1448,1438
0.050893,628,1613,1600
0.050745,4294,1837,1806
0.050533,7654,1961,1964
0.050973,11511,2053,2066
0.050921,10159,2040,2094
0.050605,7750,2077,2118
0.050056,6835,2068,2104
0.050676,3466,2087,2110
0.050502,3812,2102,2118
0.050588,3756,2041,2057
0.050533,4311,2076,2066
0.050552,5043,2092,2079
0.050623,6773,2106,2109
0.050679,5517,2042,2057
0.050615,5229,2099,2106
0.050569,8061,2090,2098
0.050551,8200,2096,2124
0.050450,5594,2054,2074
0.050215,4618,2077,2075
0.050360,4073,2120,2108
0.050239,4974,2069,2050
0.051030,6151,2079,2074
0.050256,1102,2074,2050
0.050270,1847,2084,2028
0.050335,7886,2083,2047
0.050281,10664,2092,2111
0.050387,7719,2084,2101
0.050295,4768,2094,2098
0.050215,3116,2085,2076
0.050269,3962,2101,2066
0.050925,5551,2127,2115
0.050332,5585,2082,2073
0.050290,5240,2100,2104
0.050276,4389,2084,2077
0.050286,4951,2085,2074
0.050308,7363,2074,2079
0.050275,6449,2061,2072
0.050397,1458,2070,2087
0.050441,3022,2099,2074
0.050356,3357,2082,2061
0.051000,3808,2124,2102
0.050965,5209,2103,2093
0.050275,4151,2060,2060
0.050231,4267,2079,2058
0.050334,5928,2074,2062
0.050265,4467,2058,2067
0.050099,5121,2054,2045
0.050445,6246,2126,2127
