Timestamp,gyro,leftEncoder,rightEncoder
1541717149.196010,5917,0,0
0.050628,5186,0,0
0.050522,5942,0,0
0.050548,6084,0,0
0.050643,5928,0,0
0.050998,5974,0,0
0.050622,5997,0,0
0.051045,5882,0,0
0.051057,6003,0,0
0.050350,6008,0,0
0.050774,6341,0,0
0.050645,5677,0,0
0.050546,6027,0,0
0.050210,5724,0,0
0.050538,6294,0,0
0.050072,5730,0,0
0.050235,5888,0,0
0.050023,6004,0,0
0.050776,5894,0,0
0.050611,5964,0,0
0.050457,5948,0,0
0.050216,5912,0,0
0.050303,5854,0,0
0.050109,5980,0,0
0.050169,6016,0,0
0.050000,5745,0,0
0.050081,5896,0,0
0.050413,6213,0,0
0.050461,5721,0,0
0.050880,5988,0,0
0.050208,5979,0,0
0.050440,5561,0,0
0.050049,6332,0,0
0.050219,5804,0,0
0.050126,5978,0,0
0.050027,5937,0,0
0.050197,5976,0,0
0.051015,6298,0,0
0.051019,5979,0,0
0.050823,5950,0,0
0.050422,5813,0,0
0.050421,6043,0,0
0.050702,5824,0,0
0.050461,6073,0,0
0.050932,5887,0,0
0.050737,5907,0,0
0.050573,6221,0,0
0.050418,5935,0,0
0.050427,5710,0,0
0.050455,6134,0,0
0.050621,5900,0,0
0.050576,6007,0,0
0.050255,6064,0,0
0.050515,5550,0,0
0.050288,6017,0,0
0.050477,5953,0,0
0.050339,5995,0,0
0.050183,5680,0,0
0.050307,5996,0,0
0.050400,6273,0,0
0.050376,5766,0,0
0.050378,6031,0,0
0.050635,5995,0,0
0.050459,6004,0,0
0.050359,5986,0,0
0.050302,5905,0,0
0.050538,5767,0,0
0.050437,5945,0,0
0.050326,5950,0,0
0.050261,5839,0,0
0.050484,5704,0,0
0.050307,6026,0,0
0.050325,5971,0,0
0.050572,6317,0,0
0.050963,5694,0,0
0.051022,5925,0,0
0.050002,5948,0,0
0.051021,5948,0,0
0.050845,6028,0,0
0.051046,6214,0,0
0.050983,5857,0,0
0.051002,5642,0,0
0.050998,6359,0,0
0.050972,5929,0,0
0.050751,5895,0,0
0.050023,6085,0,0
0.050971,5951,0,0
0.050966,5895,0,0
0.050977,5856,0,0
0.050958,6114,0,0
0.051046,6062,0,0
0.051002,6065,0,0
0.051025,6016,0,0
0.051006,5976,0,0
0.051037,6244,0,0
0.050974,5737,0,0
0.050944,5948,0,0
0.050103,6274,0,0
0.050964,5797,0,0
0.050940,5678,0,0
0.050991,6289,0,0
0.050108,5781,0,0
0.050950,5941,0,0
0.050047,5933,0,0
0.050307,6108,0,0
0.050135,5959,0,0
0.050211,5667,0,0
0.050120,6013,0,0
0.051014,6100,0,0
0.050088,6091,0,0
0.050983,6034,0,0
0.050131,6271,0,0
0.050094,5625,0,0
0.050248,6051,0,0
0.050299,5682,0,0
0.056642,6764,0,0
0.050136,5719,0,0
0.050208,6390,0,0
0.050171,5732,0,0
0.050078,5713,0,0
0.051042,6309,0,0
0.050059,5667,0,0
0.050086,5936,0,0
0.050025,6115,0,0
0.050798,5861,0,0
0.050322,5907,0,0
0.050927,6018,0,0
0.050564,5950,0,0
0.050371,6018,0,0
0.050166,5759,0,0
0.050490,6317,0,0
0.050124,5721,0,0
0.050209,6040,18,10
0.050281,6472,208,184
0.050359,-5283,371,423
0.050187,-3659,741,601
0.050187,944,1008,969
0.050404,7147,1261,1250
0.050263,9606,1387,1406
0.050342,8339,1474,1489
0.050048,8316,1536,1539
0.050404,7895,1546,1581
0.050283,4427,1548,1575
0.050496,1471,1593,1588
0.050693,3866,1605,1597
0.050639,5763,1627,1630
0.050298,4872,1590,1599
0.049995,4843,1560,1550
0.050204,7648,1601,1596
0.050263,7981,1591,1612
0.050262,5848,1607,1619
0.050128,6397,1597,1601
0.050110,6791,1621,1631
0.050108,6321,1619,1643
0.051064,3823,1680,1681
0.050049,4394,1644,1623
0.050162,5788,1705,1698
0.050192,5225,1725,1718
0.050181,4583,1734,1729
0.050587,4946,1747,1749
0.051003,4417,1798,1806
0.050225,388,1760,1742
0.050441,2217,1784,1737
0.050379,8585,1792,1771
0.050743,13052,1799,1829
0.050356,12451,1818,1857
0.050937,7894,1832,1867
0.050533,3548,1813,1843
0.050370,938,1824,1820
0.050363,6553,1816,1793
0.050171,7892,1830,1834
0.051011,5852,1873,1896
0.050994,6589,1900,1907
0.050988,5897,1873,1866
0.051007,5993,1930,1921
0.050952,7641,1949,1949
0.051003,5374,1922,1938
0.050004,5270,1959,1954
0.050213,8939,1999,1987
0.051002,8043,2007,2028
0.051053,6205,2124,2133
0.050045,5358,2149,2152
0.050002,5417,2196,2198
0.050026,4778,2192,2192
0.051055,3153,2285,2285
0.050028,3961,2212,2224
0.050038,3128,2266,2269
0.050054,-515,2285,2277
0.051020,1942,2346,2319
