Timestamp,gyro,leftEncoder,rightEncoder
1541717575.175800,6244,0,0
0.050914,5868,0,0
0.050086,5664,0,0
0.050349,5988,0,0
0.050582,6028,0,0
0.050071,6032,0,0
0.050047,5916,0,0
0.050035,5775,0,0
0.050074,6337,0,0
0.050087,5649,0,0
0.050035,6070,0,0
0.050156,5742,0,0
0.050115,6067,0,0
0.050056,5993,0,0
0.050080,5702,0,0
0.050139,6264,0,0
0.050175,5729,0,0
0.050560,6057,0,0
0.051001,5716,0,0
0.051011,6142,0,0
0.050236,5887,0,0
0.050506,6053,0,0
0.051012,5952,0,0
0.050039,5702,0,0
0.050033,6328,0,0
0.050980,6042,0,0
0.050956,6335,0,0
0.050995,6232,0,0
0.050987,6089,0,0
0.050212,5872,0,0
0.051054,5675,0,0
0.051007,6190,0,0
0.051050,6044,0,0
0.050099,5723,0,0
0.050973,6295,0,0
0.050052,5647,0,0
0.050396,5916,0,0
0.050021,6132,0,0
0.050073,5753,0,0
0.050216,6040,0,0
0.050055,5933,0,0
0.050200,5978,0,0
0.050086,6048,0,0
0.050052,5823,0,0
0.050133,5945,0,0
0.050193,6052,0,0
0.050091,5981,0,0
0.050303,5400,0,0
0.051005,6411,0,0
0.050186,5800,0,0
0.050888,5972,0,0
0.050934,5961,0,0
0.050139,5784,0,0
0.050915,5991,0,0
0.050987,6308,0,0
0.050946,5657,0,0
0.050040,5832,0,0
0.050580,6071,0,0
0.051025,5925,0,0
0.050789,6177,0,0
0.050973,6028,0,0
0.050970,6433,0,0
0.050006,6022,0,0
0.051045,6074,0,0
0.051035,6058,0,0
0.051047,6238,0,0
0.050111,5709,0,0
0.050040,6300,0,0
0.051024,5914,0,0
0.051007,6240,0,0
0.050025,5878,0,0
0.050884,5867,0,0
0.050932,5965,0,0
0.051022,5954,0,0
0.050107,5691,0,0
0.050080,5935,0,0
0.050160,5941,0,0
0.050045,5996,0,0
0.051025,6042,0,0
0.050511,5997,0,0
0.050970,5931,0,0
0.050879,5436,0,0
0.051033,6230,0,0
0.050015,6018,0,0
0.050063,5957,0,0
0.050995,5625,0,0
0.050023,5985,0,0
0.050951,6502,0,0
0.050126,5793,0,0
0.050028,5971,0,0
0.051003,5896,0,0
0.050939,5986,0,0
0.050010,5803,0,0
0.051027,5992,0,0
0.050194,5747,0,0
0.051051,5900,0,0
0.050954,6215,0,0
0.050540,5986,0,0
0.051100,5856,0,0
0.050246,6016,0,0
0.050178,5727,0,0
0.050045,6025,0,0
0.050098,5996,0,0
0.050995,5999,0,0
0.051157,6020,0,0
0.051066,6078,0,0
0.050962,5746,0,0
0.050981,5967,0,0
0.050931,6132,0,0
0.050978,6001,0,0
0.050561,5997,0,0
0.050307,5520,0,0
0.050667,6012,0,0
0.050720,6374,0,0
0.050357,5720,0,0
0.051023,6405,0,0
0.050351,5645,0,0
0.051038,5986,0,0
0.050790,6034,0,0
0.050073,5980,0,0
0.050234,6021,0,0
0.050121,5645,0,0
0.049975,5993,0,0
0.051008,6161,0,0
0.050049,6026,0,0
0.050005,5927,0,0
0.050016,6055,28,2
0.050039,6171,249,118
0.050085,14205,509,298
0.050280,15650,498,496
0.050031,6657,646,720
0.050192,7000,848,867
0.050252,11902,929,992
0.050064,10884,954,1005
0.050256,7529,958,1000
0.050530,6945,954,977
0.050151,9209,948,976
0.050652,8385,945,972
0.050634,7803,957,979
0.050858,6614,1047,1059
0.050191,5058,1138,1143
0.050299,4903,1217,1215
0.050683,5668,1339,1340
0.050584,5581,1346,1343
0.050071,6639,1356,1354
0.050504,6730,1362,1360
0.050033,6291,1394,1406
0.050339,3425,1455,1438
0.050224,828,1519,1488
0.050796,3400,1623,1589
0.050494,7515,1709,1707
0.050560,10050,1850,1878
0.050089,9600,1882,1904
0.050093,8524,1982,1998
0.050189,8103,2039,2037
0.050580,7371,2059,2068
0.050091,7813,2056,2064
0.050874,6348,2093,2113
0.050298,5395,2067,2082
0.050230,6223,2067,2070
0.051013,6483,2057,2065
0.050229,8025,2106,2106
0.050683,5917,2072,2091
0.050629,5345,2123,2128
0.050097,4955,2085,2085
0.050891,6067,2087,2086
0.050609,6024,2079,2087
0.050020,6713,2075,2085
0.050032,6069,2070,2086
0.050982,5331,2075,2084
0.050020,5607,2079,2080
0.050991,6671,2125,2135
0.051051,6000,2076,2083
0.050106,7204,2071,2080
0.050224,7522,2070,2089
0.051098,6313,2136,2154
0.050284,5168,2054,2070
0.050569,1087,2063,2069
0.050529,1380,2132,2128
0.051839,5351,2151,2137
0.050947,7091,2106,2101
0.050078,7355,2071,2084
0.050047,5421,2071,2082
0.051024,5482,2073,2071
0.050037,7021,2073,2063
0.050915,6849,2064,2074
0.050047,4379,2073,2089
0.050131,1302,2059,2028
0.050186,5248,2070,2040
0.050945,10136,2127,2126
0.051054,11552,2095,2101
0.051049,8762,2127,2138
0.050178,5371,2062,2108
0.050934,2196,2085,2092
0.050890,6899,2100,2071
0.051033,8348,2097,2120
0.050211,6430,2069,2095
0.050475,5785,2066,2073
0.050212,4553,2035,2045
0.050823,4887,2126,2118
0.050380,5531,2056,2053
0.050642,5349,2109,2107
0.050339,5219,2069,2068
0.050063,5544,2027,2022
0.050996,6411,2105,2101
0.050089,5302,2063,2071
0.050998,6514,2086,2076
0.050022,6890,2029,2029
0.050158,6024,2042,2051
0.050059,5532,2001,2006
0.050004,5378,2044,2043
0.050102,6457,2041,2042
0.050231,6646,2046,2050
0.050813,4578,2082,2087
0.050070,5845,2021,2025
0.050571,2471,2072,2070
0.050011,1334,2081,2059
0.050367,5251,2092,2067
0.050003,6951,2033,2033
0.050928,7585,2117,2126
0.050356,6302,2067,2077
0.051016,5531,2077,2082
0.050084,5110,2065,2057
0.051057,5003,2105,2093
0.050072,5618,2020,2028
0.050112,3722,2073,2068
0.050057,1424,2066,2021
0.050047,6127,2049,2017
0.051042,10462,2115,2134
0.050038,9168,2086,2121
0.050118,5222,2041,2064
0.049998,1963,2091,2088
0.050036,3364,2046,2000
0.050009,8632,2079,2048
0.051035,7708,2115,2136
0.050039,6422,2035,2039
0.050097,4627,2078,2080
0.050028,3721,2051,2039
0.050286,6058,2080,2063
0.050141,4790,2100,2102
0.051041,4525,2098,2079
0.050129,4030,2077,2060
0.051053,5084,2141,2122
0.050041,5789,2039,2023
0.050073,5692,2081,2078
0.050201,5803,2089,2081
0.051031,4707,2087,2083
0.051018,4909,2135,2124
0.051053,5517,2098,2093
0.051036,4071,2133,2133
0.050036,4103,2092,2086
0.050004,4508,2068,2067
0.049999,6132,2062,2053
0.050039,5947,2046,2052
0.050286,1906,2099,2099
0.051023,2681,2088,2076
0.051026,5057,2127,2122
0.050519,5804,2087,2090
0.050334,6457,2074,2078
0.049990,6100,2078,2079
0.051019,6397,2085,2082
0.051056,5813,2103,2102
0.050035,6149,2093,2086
0.051024,5980,2064,2066
0.050072,1105,2089,2066
0.050055,2860,2073,2025
0.050092,8512,2054,2046
0.051014,11090,2131,2163
0.051015,7745,2086,2109
0.050126,4089,2083,2096
0.050111,2446,2081,2058
0.050034,6697,2071,2037
0.050140,6931,2032,2034
0.050038,6128,2070,2069
0.050041,4203,2077,2081
0.050059,4289,1992,1984
0.050010,4547,2008,2015
0.050019,5613,1873,1871
0.050045,2332,1692,1691
0.050186,3754,1566,1564
0.050009,10757,1402,1397
0.051048,8386,1254,1263
0.050021,4361,1043,1049
0.050287,6503,898,904
0.050041,5142,724,724
0.050157,2362,553,541
0.050022,6727,389,364
0.051037,7206,237,242
0.051034,8099,124,143
0.050018,7453,21,160
0.051069,8688,-161,290
0.050339,27426,-301,437
