Timestamp,gyro,leftEncoder,rightEncoder
1541717707.933466,6871,0,0
0.050326,4765,0,0
0.050023,5821,0,0
0.050962,5949,0,0
0.050022,6046,0,0
0.051033,5994,0,0
0.050016,6102,0,0
0.050011,5760,0,0
0.050048,5976,0,0
0.050209,5928,0,0
0.050268,5994,0,0
0.050059,5965,0,0
0.050994,5910,0,0
0.050084,5671,0,0
0.050059,6050,0,0
0.051065,5982,0,0
0.050254,5984,0,0
0.050268,6080,0,0
0.050077,5937,0,0
0.050184,5752,0,0
0.050122,6123,0,0
0.051047,5908,0,0
0.050080,6048,0,0
0.050978,5974,0,0
0.050019,5943,0,0
0.050142,5968,0,0
0.050179,6056,0,0
0.050090,5677,0,0
0.050201,5929,0,0
0.050491,5624,0,0
0.051034,6288,0,0
0.051044,6022,0,0
0.050992,5859,0,0
0.050221,5775,0,0
0.050318,6043,0,0
0.050277,5895,0,0
0.050390,5739,0,0
0.050414,6253,0,0
0.050568,5681,0,0
0.050095,6054,0,0
0.050097,5879,0,0
0.050230,5581,0,0
0.050376,6246,-45,11
0.050403,6761,-244,205
0.050283,21272,-399,391
0.050083,76360,-660,582
0.050213,142907,-1072,1036
0.051059,197126,-1324,1368
0.050280,196811,-1424,1491
0.050180,211332,-1456,1485
0.050223,208448,-1478,1530
0.050229,202090,-1434,1493
0.050456,198412,-1426,1461
0.050206,188588,-1439,1453
0.050004,196321,-1403,1406
0.051072,195564,-1467,1445
0.050326,195313,-1454,1428
0.050181,195551,-1413,1399
0.050141,185963,-1433,1448
0.050355,195078,-1399,1417
0.050351,187568,-1340,1330
0.050305,175135,-1213,1207
0.050518,160354,-1172,1168
0.050177,140430,-1073,1081
0.050454,134481,-961,962
0.050442,114788,-831,817
0.050426,105220,-683,657
0.050459,86134,-508,483
0.050482,57137,-340,294
0.050622,23772,-183,116
0.051038,1374,-102,116
0.051074,-792,-61,76
0.050991,2323,-37,13
0.050188,4113,-26,44
0.050372,8105,0,51
0.050058,10452,0,37
0.050445,7026,0,28
0.050201,5912,0,10
0.050344,6552,0,9
0.050224,6977,0,17
0.050085,6862,0,9
0.050295,5778,0,5
0.050224,6046,0,0
0.051041,5850,0,0
0.050947,6352,0,0
0.050015,5716,-18,24
0.050020,12741,-167,210
0.050980,40865,-317,329
