Timestamp,gyro,leftEncoder,rightEncoder
1541718357.253900,6412,0,0
0.050685,5835,0,0
0.050280,6349,0,0
0.050675,5846,0,0
0.051012,6147,0,0
0.050052,6186,0,0
0.050334,6123,0,0
0.050155,6067,0,0
0.051004,6031,0,0
0.050248,5841,0,0
0.050570,6126,0,0
0.050707,6179,0,0
0.050049,6205,0,0
0.050730,6437,0,0
0.051015,5945,0,0
0.050229,6054,0,0
0.050024,6165,0,0
0.050588,6126,0,0
0.051034,6239,0,0
0.050438,6092,0,0
0.050061,5855,0,0
0.050143,6151,0,0
0.050017,6067,0,0
0.049995,6236,0,0
0.050063,5747,0,0
0.050559,6195,32,35
0.050346,5712,229,234
0.050087,-4957,406,453
0.050429,-11623,683,535
0.051025,-5111,1031,907
0.050464,3551,1308,1264
0.050751,7815,1415,1442
0.051039,10414,1508,1544
0.050943,13164,1585,1632
0.050014,9494,1542,1594
0.050037,6411,1616,1642
0.050456,5618,1683,1696
0.050375,6344,1721,1740
0.050494,5178,1782,1791
0.050709,5269,1846,1844
0.050116,6302,1890,1895
0.050096,4716,1899,1904
0.050018,4273,1997,1995
0.050603,6001,2012,2044
0.051044,8296,1970,2119
0.051043,10800,1843,2146
0.050458,19469,1642,2109
0.051014,44849,1557,2119
0.050256,53113,1518,2152
0.050830,56390,1513,2152
0.050751,54139,1461,2096
0.050861,58509,1455,2134
0.050705,51417,1417,2103
0.050729,53124,1406,2086
0.050016,42103,1421,2066
0.050260,46596,1487,2047
0.050868,48042,1683,2087
0.050653,32868,1857,2130
0.050580,10459,1956,2140
0.050759,98,2082,2110
0.050176,3619,2081,2044
0.050506,7467,2073,2066
0.050500,7251,2128,2144
0.050780,4895,2093,2097
0.050971,4438,2072,2069
0.050913,7230,2771,2753
0.051067,5632,1485,1477
0.050966,7514,2123,2130
0.050374,8053,2068,2073
0.049999,3817,2056,2071
0.050953,-1043,2133,2135
0.050410,1637,2093,2072
0.050651,3111,2125,2109
0.050497,4950,2131,2113
0.051014,8690,2074,2080
0.050065,9225,2094,2105
0.050459,8861,2083,2112
0.050995,6985,2072,2091
0.050952,5437,2108,2133
0.050381,4289,2043,2061
0.051022,3771,2119,2130
0.050400,5348,2079,2046
0.051043,4634,2095,1938
0.050638,-432,2119,1803
0.050141,-9419,2102,1638
0.050140,-33263,2094,1477
0.050993,-48746,2090,1312
0.050056,-58514,2088,1138
0.050494,-61679,2076,993
0.050514,-64779,2027,955
0.050109,-68063,2052,1040
0.050389,-65520,2092,1128
0.050096,-58543,2035,1193
0.050455,-53669,2085,1301
0.050364,-37337,2164,1572
0.050411,-11682,1981,1698
0.050152,2782,2135,2042
0.050102,4622,2011,1979
0.050582,8893,2097,2129
0.050983,14135,1948,2118
0.050993,17060,1842,2193
0.050330,20510,1641,2130
0.050105,47235,1533,2116
0.051069,53238,1531,2093
0.050324,52806,1722,2030
0.050668,39096,1731,2067
0.051026,13794,1821,2089
0.050234,13233,1762,2042
0.050320,17930,1659,2094
0.050429,22719,1483,2094
0.050678,59868,1370,2142
0.051061,73920,1242,2098
0.050582,71626,1455,2108
0.050062,58767,1488,1988
0.050207,17726,1739,2055
0.050080,1732,1992,2027
0.050595,2158,2079,2107
0.050802,563,2151,2149
0.050617,1204,2115,2105
0.050097,1962,2040,2038
0.050534,440,2142,2139
0.051030,1294,2087,2071
0.050305,4776,2050,2054
0.050155,6379,1926,2065
0.050842,12542,1781,2081
0.050476,34731,1639,2080
0.050617,49602,1513,2151
0.050606,54330,1306,2083
0.050100,59928,1218,2016
0.050726,67662,1458,2123
0.050729,57019,1620,2059
0.050394,30857,1700,2066
0.050210,2757,1944,2029
0.050741,1438,2052,2079
0.050672,5392,1988,2132
0.050497,6261,1805,2098
0.050076,18658,1647,2059
0.050800,50714,1586,2063
0.050531,55242,1763,2126
0.050682,46207,1921,2135
0.050139,12957,1820,2072
0.050730,-987,2050,2046
0.050524,200,2050,2006
0.050588,4352,2096,2087
0.050284,5238,2103,2117
0.050622,8162,2127,2135
0.050554,7162,2090,2109
0.050548,8550,2076,2056
0.050484,9828,2069,2082
0.050363,6880,2074,2093
0.050578,4675,2055,2055
0.050533,4727,2075,2080
0.050322,7155,2045,2046
0.050827,2750,2150,2155
0.050236,2202,2091,2066
0.050754,2863,2109,2103
0.050419,2608,2097,2078
0.050092,4054,2085,2079
0.050241,4524,2082,2083
0.050103,5567,2080,2069
0.050138,7739,2031,2029
0.050166,6838,2067,2076
0.050110,6051,2098,2097
0.050586,6326,2088,2093
0.050661,6278,2097,2106
0.050080,6618,2044,2048
0.050493,7353,2084,2095
0.050804,8807,2147,2164
0.050594,4377,2079,2086
0.050111,5118,2074,2073
0.050764,5874,2099,2088
0.050499,5731,2087,2079
0.050678,7209,2081,2084
0.050123,4224,2073,2079
0.050791,1828,2087,2045
0.050462,6658,2075,2043
0.050651,11974,2099,2119
0.050089,13457,2049,2065
0.050654,9569,2129,2147
0.050593,3621,2105,2129
0.050653,783,2096,2083
0.050010,4088,2040,1993
0.050692,6516,2138,2124
0.050703,8044,2094,2099
0.050572,5332,2086,2088
0.050069,4390,2039,2021
0.050854,6179,2127,2107
0.050581,5236,2109,2104
0.050745,5117,2098,2093
0.050159,5238,2036,2032
0.050412,6754,1937,1944
0.050702,4720,1819,1815
0.050648,-96,1666,1653
0.050550,-1958,1496,1487
0.050144,6790,1310,1305
0.050703,4632,1142,1146
0.050616,4058,970,965
0.050566,5890,808,802
0.050040,8484,632,644
0.050637,6511,475,444
0.050758,3590,285,358
0.050661,14325,92,582
0.050209,31163,-82,571
0.050530,75341,-327,758
0.050599,121652,-615,1117
0.050580,155111,-885,1206
0.050334,158535,-1039,1226
0.050565,165200,-1133,1242
0.050511,159859,-1167,1218
0.050671,157282,-1140,1159
0.050187,158275,-1143,1134
0.050739,158168,-1134,1142
0.050541,157607,-1141,1146
0.050526,157313,-1094,1112
0.050048,151707,-1143,1151
0.050611,160095,-1136,1140
0.050771,158625,-1172,1150
0.050626,157699,-1169,1140
0.050085,152544,-1051,1061
0.050654,140196,-1017,1015
0.050646,137481,-875,880
0.050656,122940,-744,727
0.050634,100671,-585,551
0.050105,67080,-398,352
0.050588,33207,-228,194
0.050097,8621,-102,145
0.050127,-152,-63,80
0.050088,-63,-71,39
0.050703,2319,-28,51
0.050627,5403,-35,5
0.050647,7371,-26,0
0.050083,7574,-11,0
0.050619,6246,-3,0
0.050150,5268,0,0
0.051058,6296,0,0
0.050973,6178,0,0
0.050030,6257,21,17
0.050218,7107,240,109
0.050232,4280,435,39
0.050240,-37331,665,15
0.050077,-74192,1128,-49
0.050140,-87439,1455,-172
0.050014,-106347,1668,-224
0.050936,-112997,1739,-180
0.050990,-132120,1832,-267
0.050986,-148118,1812,-412
0.051045,-159364,1897,-494
0.051020,-160334,1947,-546
0.050008,-156023,1902,-523
0.050946,-154168,1874,-513
0.050061,-145772,1840,-507
0.050968,-158348,1894,-515
0.050026,-151923,1881,-501
0.051021,-154680,1896,-529
0.050375,-148943,1890,-537
0.050993,-156920,1880,-551
0.050984,-163811,1883,-562
0.051028,-146728,1815,-569
0.050984,-152321,1784,-568
0.050021,-150131,1686,-550
0.050056,-143431,1566,-541
0.050113,-135766,1427,-482
0.050120,-115550,1291,-401
0.050108,-90948,1117,-265
0.051021,-64372,975,-142
0.051068,-46269,806,-91
0.050964,-32699,639,-44
0.050818,-23235,449,-12
0.050146,-15608,285,0
0.050865,-4683,143,0
0.050917,8489,79,1
0.050756,10219,72,0
0.050844,13567,22,0
0.050227,11643,9,1
0.050750,6921,79,-9
0.051002,-6144,216,-147
0.050841,-47038,489,-332
0.050821,-82554,856,-504
0.050669,-121791,1098,-812
0.050180,-149345,1225,-999
0.050395,-160319,1159,-1037
0.050322,-150501,1057,-1020
0.050255,-140922,902,-924
0.050194,-100567,734,-732
0.050268,-61572,573,-537
0.050126,-38492,393,-353
0.050116,-15215,229,-180
0.050130,207,122,-117
0.051020,7254,86,-60
0.050068,9195,35,-38
0.050201,8430,43,-30
0.050001,7647,12,-13
0.050046,5994,1,-3
0.050235,5179,47,-59
0.050432,-1217,244,-225
0.050100,-38203,382,-393
0.050096,-85047,590,-577
0.051069,-103815,789,-767
0.050061,-109005,806,-779
0.050070,-102845,760,-785
0.050291,-98356,746,-777
0.050238,-82469,596,-626
0.050130,-72737,442,-470
0.050114,-50614,273,-300
0.051000,-11832,122,-144
0.050986,13975,93,-93
0.050061,18369,62,-42
0.050158,15532,108,-81
0.050432,-1472,241,-143
0.051013,-46729,446,-439
0.051005,-103483,816,-791
0.050124,-139348,1029,-1015
0.050158,-144144,1131,-1123
0.050165,-152547,1151,-1166
0.050208,-150162,1146,-1177
0.050170,-146514,1127,-1143
0.050196,-135303,1100,-1121
0.050181,-137983,1039,-1053
0.050070,-122136,925,-952
0.050066,-113582,794,-819
0.050065,-97087,633,-650
0.050098,-78701,458,-479
0.050088,-48973,311,-315
0.050090,-9284,143,-135
0.050014,16883,96,-91
0.050028,17432,56,-41
0.051068,14743,56,-24
0.050048,7236,11,-34
0.050029,3654,0,-4
0.050997,5798,2,163
0.050941,10834,48,458
0.050143,35229,154,525
0.051000,59015,155,846
0.050939,57490,289,1137
0.050972,59039,472,1337
0.050992,57089,509,1381
0.050994,51113,536,1358
0.050947,45655,583,1293
0.050072,42880,797,1217
0.050072,36409,863,1109
0.050066,30147,775,949
0.051016,22501,682,802
0.050236,17178,658,608
0.050264,-2463,804,401
0.050090,-50051,1005,210
0.050316,-78267,1377,83
0.050127,-112721,1680,-59
0.050636,-127201,1915,-265
0.050866,-159078,2113,-624
0.050510,-189601,2072,-1004
0.050018,-218564,2078,-1431
0.050598,-242128,2058,-1726
0.050701,-254970,1954,-1777
0.050613,-253705,1858,-1798
0.050153,-226589,1640,-1681
0.050805,-204577,1489,-1501
0.050445,-169057,1340,-1344
0.050665,-145153,1131,-1128
0.050130,-120099,965,-949
0.050771,-112511,811,-789
0.050385,-79809,626,-592
0.050714,-54395,465,-419
0.050701,-26659,299,-277
0.050097,-6620,143,-150
0.050522,7559,83,-81
0.050583,12756,31,-4
0.050802,14338,-179,176
0.050195,26321,-427,426
0.050498,87005,-646,605
0.050563,154184,-1128,1069
0.050093,205688,-1513,1476
0.050435,242955,-1687,1725
0.050218,253528,-1699,1764
0.050321,229269,-1646,1671
0.050679,220483,-1516,1506
0.050392,199079,-1368,1353
0.050385,167452,-1172,1151
0.050485,138591,-1014,987
0.050798,110406,-837,833
0.050050,95417,-660,666
0.050600,79127,-491,521
0.050647,58331,-310,325
