Timestamp,gyro,leftEncoder,rightEncoder
1541718212.108582,6072,0,0
0.050180,4234,0,0
0.050574,5592,0,0
0.050467,6201,0,0
0.050357,5775,0,0
0.050329,6022,0,0
0.051012,6199,0,0
0.050467,6074,0,0
0.050466,6171,0,0
0.050322,5630,0,0
0.050578,6341,0,0
0.050434,5939,0,0
0.050370,5618,0,0
0.050265,6000,0,0
0.050442,6085,23,21
0.050431,6130,154,135
0.050492,7114,91,83
0.050275,5567,25,25
0.050361,4738,46,29
0.050365,5779,23,42
0.050567,7129,5,26
0.050539,6575,0,21
0.050406,5427,-1,12
0.050383,5517,0,2
0.050401,5992,-1,0
0.050483,5973,0,0
0.050381,5672,0,0
0.050409,5760,0,-5
0.050427,6207,0,-9
0.050381,5579,-41,30
0.050350,8098,-244,233
0.050285,37042,-373,392
0.050450,95239,-692,656
0.050438,156827,-1072,1071
0.050432,187143,-1283,1280
0.050316,193829,-1321,1335
0.050438,193023,-1337,1389
0.050485,190442,-1325,1385
0.050410,186767,-1285,1332
0.050390,173988,-1274,1308
0.050317,177782,-1264,1288
0.050390,165333,-1235,1235
0.050376,172651,-1137,1114
0.050468,130262,-1002,971
0.050512,129492,-876,813
0.050373,97478,-688,639
0.050421,69560,-509,475
0.050437,46856,-341,325
0.050812,34705,-183,186
0.050412,14741,-102,75
0.050437,2030,-73,84
0.050463,-377,-18,26
0.050395,2773,-10,1
0.050361,7226,-1,0
0.050374,6640,1,0
0.050524,5842,0,0
0.050382,5811,0,0
0.050019,6165,0,-1
0.050361,5953,1,0
0.050670,6023,0,0
0.050456,5884,0,0
0.050462,6361,0,0
0.050579,5696,0,0
0.050127,6066,0,0
0.050335,6010,0,0
0.050307,6048,0,0
0.050459,6067,0,0
0.050302,5842,0,0
0.050380,6059,0,0
0.050693,5973,0,0
0.050595,6006,0,0
0.050610,6128,0,0
0.050698,5982,0,0
0.050699,6147,0,0
0.050862,6109,0,0
0.050437,6416,-18,14
0.050417,9566,-212,219
0.050641,37786,-377,444
0.050087,100250,-701,625
0.050976,148115,-1028,957
0.050529,163870,-1139,1127
0.050688,166566,-1172,1164
0.050335,161632,-1130,1192
0.050558,151045,-1134,1199
0.050077,158726,-1098,1147
0.050331,159207,-1139,1170
0.050347,161274,-1159,1161
0.050392,163410,-1162,1169
0.050071,155239,-1196,1184
0.051026,162012,-1183,1178
0.051077,162851,-1218,1206
0.051021,176975,-1268,1255
0.050984,178018,-1355,1346
0.051012,199778,-1523,1508
0.050007,217542,-1677,1651
0.051037,263143,-1878,1860
0.050048,266984,-1987,1975
0.050435,265074,-2009,2019
0.050954,286292,-2064,2107
0.050984,281672,-2078,2104
0.050954,293198,-2123,2159
0.050983,270249,-2099,2092
0.050106,280724,-2112,2087
0.050028,280558,-2069,2062
0.050139,281571,-2026,2057
0.050120,276693,-2104,2058
0.050992,278000,-2083,2049
0.050967,285771,-2081,2133
0.050586,288898,-2081,2122
0.050031,271440,-2048,2048
0.050217,283651,-2087,2081
0.050126,283646,-2088,2048
0.050965,284085,-2100,2053
0.051028,284064,-2114,2111
0.050987,285395,-2110,2117
0.051014,289272,-2100,2089
0.051051,287963,-2131,2129
0.050041,288155,-2095,2081
0.050110,291524,-2109,2124
0.050978,291159,-2131,2145
0.050960,286623,-2093,2099
0.050312,283592,-2065,2082
0.050966,282716,-2114,2123
0.050336,282596,-2069,2069
0.050130,268703,-2078,2065
0.050616,294856,-2100,2108
0.050695,267652,-2056,2076
0.050609,293622,-2103,2115
0.050274,267891,-2059,2063
0.050057,283095,-2088,2099
0.050349,283471,-2087,2081
0.050140,280014,-2074,2092
0.051051,278174,-2102,2113
0.050059,266380,-2063,2069
0.050152,279166,-2067,2068
0.051034,280265,-2077,2114
0.050967,286420,-2133,2179
0.050662,285592,-2126,2137
0.050987,284147,-2096,2107
0.050998,297804,-2151,2130
0.050967,269272,-2105,2069
0.050980,296477,-2121,2130
0.051006,285224,-2059,2090
0.050988,280459,-2127,2130
0.051058,279810,-2045,2024
0.050068,277882,-1949,1947
0.050660,257819,-1823,1816
0.050029,253036,-1645,1634
0.050066,207272,-1511,1486
0.051050,187576,-1363,1335
0.051060,154810,-1166,1149
0.050994,139895,-997,986
0.050961,124534,-807,806
0.051034,98600,-646,634
0.050982,65374,-459,447
0.051008,36554,-289,282
0.050053,19756,-151,174
0.051043,9158,-94,107
0.050991,2860,-59,54
0.050940,2002,-1,23
0.050083,4485,0,20
0.050967,6735,0,16
0.050968,5899,1,3
0.050980,6003,3,0
0.057158,6771,1,0
0.050010,6003,0,0
0.051005,6208,0,-1
0.050049,5801,0,0
0.050990,6035,0,0
0.050973,5976,0,0
0.050964,6009,0,0
0.050954,6089,0,0
0.050997,6194,0,0
0.050995,5785,0,0
0.050050,6052,0,0
0.051016,6065,0,0
0.050968,6026,0,0
0.050634,6034,0,0
0.050987,6098,0,0
0.050938,6312,0,0
0.050184,5947,0,0
0.051018,5711,0,0
0.051003,6396,0,0
0.050022,5807,0,0
0.050077,6178,0,0
0.050212,5947,0,0
0.049992,5641,0,0
0.050195,6230,0,0
0.051000,6244,0,0
0.050180,5715,0,0
0.051011,6065,0,0
0.050960,6129,0,0
0.050545,6054,0,0
0.050309,5957,0,0
0.050149,6025,0,0
0.050120,5985,0,0
0.050194,5770,0,0
0.050992,6118,0,0
0.050841,6124,0,0
0.051011,6347,0,0
0.050067,5849,0,0
0.050048,6152,0,0
0.050087,5969,0,0
0.050984,6183,0,0
0.050989,6197,0,0
0.050917,6039,0,0
0.050971,6120,0,0
0.050992,6529,0,0
0.051024,5685,0,0
0.051029,5979,0,0
0.050971,6390,0,0
0.050147,6044,0,0
0.051007,5720,0,0
0.050048,6148,0,0
0.050989,6354,0,0
0.051041,5752,0,0
