Timestamp,gyro,leftEncoder,rightEncoder
1541718272.396857,5772,0,0
0.050617,6348,0,0
0.051034,5864,0,0
0.049993,6086,0,0
0.050011,6028,0,0
0.050010,6085,0,0
0.050261,5746,0,0
0.050105,6024,0,0
0.050163,6198,0,0
0.050086,6172,0,0
0.051074,6185,0,0
0.050020,6034,0,0
0.050016,4147,0,0
0.051060,6106,0,0
0.050241,6080,0,0
0.050214,5751,0,0
0.050066,6153,0,0
0.050132,6127,0,0
0.050119,5935,0,0
0.050014,5732,0,0
0.050205,6411,0,0
0.050116,5864,0,0
0.050046,5997,0,0
0.050127,5781,0,0
0.050009,6076,0,0
0.050710,6525,-23,13
0.050101,8241,-225,216
0.050035,33670,-358,381
0.050038,96611,-672,597
0.050095,143084,-973,933
0.050152,164899,-1154,1157
0.050164,184014,-1319,1358
0.050001,196431,-1455,1490
0.050006,230211,-1651,1672
0.050190,246502,-1729,1732
0.050036,239356,-1728,1738
0.051002,259692,-1828,1887
0.050108,232959,-1771,1806
0.051069,241104,-1772,1785
0.050081,239175,-1780,1793
0.050006,239624,-1736,1736
0.050287,239617,-1782,1767
0.051049,228047,-1783,1782
0.050251,255172,-1792,1787
0.050141,230584,-1772,1767
0.050021,243318,-1829,1810
0.051063,243101,-1819,1819
0.050184,240664,-1752,1751
0.050030,245101,-1866,1847
0.050007,247298,-1922,1919
0.050009,276233,-2027,2011
0.050042,282480,-2110,2080
0.050041,273418,-2070,2048
0.050040,286613,-2088,2102
0.050026,283461,-2047,2055
0.050036,282804,-2083,2097
0.050136,284021,-2062,2094
0.051040,268697,-2086,2099
0.050172,282875,-2078,2077
0.050082,287577,-2113,2095
0.050004,273774,-2063,2057
0.050236,287384,-2107,2122
0.050031,289564,-2077,2096
0.050021,282637,-2101,2103
0.050056,283055,-2076,2049
0.050752,287047,-2082,2098
0.049999,275515,-2084,2117
0.050079,289672,-2091,2093
0.051004,287970,-2107,2105
0.050997,288000,-2149,2147
0.051007,286437,-2139,2132
0.050977,283754,-2081,2089
0.051025,284443,-2113,2147
0.051022,302463,-2145,2159
0.050981,276326,-2106,2109
0.050976,303414,-2153,2170
0.051018,288777,-2148,2158
0.051031,283757,-2158,2150
0.050080,297504,-2036,2061
0.051036,283123,-2131,2131
0.050098,294919,-2075,2071
0.051054,281678,-2111,2127
0.051015,297183,-2075,2065
0.050018,270106,-2078,2078
0.050997,295872,-2091,2123
0.050979,280626,-2102,2117
0.051011,297034,-2271,2274
0.050991,273229,-1955,1958
0.051045,283745,-2135,2131
0.051039,281858,-2072,2064
0.050965,281686,-2119,2114
0.051069,282193,-2125,2126
0.050048,282559,-2058,2070
0.051008,283407,-2055,2079
0.050956,283526,-2113,2124
0.050989,282937,-2138,2145
0.051013,299888,-2114,2129
0.051010,272232,-2087,2078
0.050908,295155,-2144,2136
0.051013,282506,-2063,2084
0.050023,269338,-2078,2091
0.051050,295556,-2170,2118
0.050959,300476,-2144,2122
0.051036,290723,-2083,2123
0.050009,276168,-2075,2108
0.050613,284440,-2115,2133
0.050972,284530,-2118,2130
0.050082,283158,-2105,2070
0.050935,283019,-2136,2100
0.051009,281971,-2072,2083
0.050976,296803,-2120,2106
0.050657,284214,-2085,2104
0.050560,285476,-2083,2089
0.050100,274072,-2051,2019
0.050838,286523,-2151,2125
0.050023,283218,-2030,2024
0.050050,268337,-2074,2065
0.050009,282623,-2077,2084
0.050035,285677,-2083,2089
0.050068,283461,-2080,2075
0.050070,269960,-2037,2027
0.050097,281740,-2072,2081
0.050004,282094,-2047,2056
0.050251,281409,-2065,2071
0.050104,268239,-2079,2100
0.050243,283305,-2068,2063
0.050089,282679,-2083,2074
0.050021,268248,-2017,2031
0.050140,281063,-2098,2086
